filename,num_chunks,num_rows,num_success,run
Dorn_RU10.fasta,19,19,12,0
Dorn_RU10.fasta,19,19,6,1
Dorn_RU10.fasta,19,19,10,2
Dorn_RU10.fasta,19,19,6,3
Dorn_RU10.fasta,19,19,10,4
Dorn_RU10.fasta,19,19,7,5
Dorn_RU10.fasta,19,19,11,6
Dorn_RU10.fasta,19,19,11,7
Dorn_RU10.fasta,19,19,12,8
Dorn_RU10.fasta,19,19,10,9
Dorn_RU10.fasta,19,19,9,10
Dorn_RU10.fasta,19,19,11,11
Dorn_RU10.fasta,19,19,8,12
Dorn_RU10.fasta,19,19,9,13
Dorn_RU10.fasta,19,19,9,14
Dorn_RU10.fasta,19,19,11,15
Dorn_RU10.fasta,19,19,12,16
Dorn_RU10.fasta,19,19,9,17
Dorn_RU10.fasta,19,19,7,18
Dorn_RU10.fasta,19,19,11,19
Dorn_RU10.fasta,19,19,8,20
Dorn_RU10.fasta,19,19,9,21
Dorn_RU10.fasta,19,19,7,22
Dorn_RU10.fasta,19,19,8,23
Dorn_RU10.fasta,19,19,9,24
Dorn_RU10.fasta,19,19,10,25
Dorn_RU10.fasta,19,19,11,26
Dorn_RU10.fasta,19,19,10,27
Dorn_RU10.fasta,19,19,12,28
Dorn_RU10.fasta,19,19,8,29
Dorn_RU10.fasta,19,19,11,30
Dorn_RU10.fasta,19,19,7,31
Dorn_RU10.fasta,19,19,10,32
Dorn_RU10.fasta,19,19,11,33
Dorn_RU10.fasta,19,19,7,34
Dorn_RU10.fasta,19,19,7,35
Dorn_RU10.fasta,19,19,12,36
Dorn_RU10.fasta,19,19,11,37
Dorn_RU10.fasta,19,19,12,38
Dorn_RU10.fasta,19,19,11,39
Dorn_RU10.fasta,19,19,13,40
Dorn_RU10.fasta,19,19,9,41
Dorn_RU10.fasta,19,19,8,42
Dorn_RU10.fasta,19,19,8,43
Dorn_RU10.fasta,19,19,13,44
Dorn_RU10.fasta,19,19,8,45
Dorn_RU10.fasta,19,19,8,46
Dorn_RU10.fasta,19,19,8,47
Dorn_RU10.fasta,19,19,10,48
Dorn_RU10.fasta,19,19,15,49
Dorn_RU10.fasta,19,19,10,50
Dorn_RU10.fasta,19,20,18,0
Dorn_RU10.fasta,19,20,13,1
Dorn_RU10.fasta,19,20,14,2
Dorn_RU10.fasta,19,20,17,3
Dorn_RU10.fasta,19,20,17,4
Dorn_RU10.fasta,19,20,15,5
Dorn_RU10.fasta,19,20,15,6
Dorn_RU10.fasta,19,20,13,7
Dorn_RU10.fasta,19,20,17,8
Dorn_RU10.fasta,19,20,17,9
Dorn_RU10.fasta,19,20,18,10
Dorn_RU10.fasta,19,20,12,11
Dorn_RU10.fasta,19,20,19,12
Dorn_RU10.fasta,19,20,19,13
Dorn_RU10.fasta,19,20,12,14
Dorn_RU10.fasta,19,20,19,15
Dorn_RU10.fasta,19,20,18,16
Dorn_RU10.fasta,19,20,13,17
Dorn_RU10.fasta,19,20,19,18
Dorn_RU10.fasta,19,20,16,19
Dorn_RU10.fasta,19,20,15,20
Dorn_RU10.fasta,19,20,4,21
Dorn_RU10.fasta,19,20,14,22
Dorn_RU10.fasta,19,20,19,23
Dorn_RU10.fasta,19,20,14,24
Dorn_RU10.fasta,19,20,15,25
Dorn_RU10.fasta,19,20,13,26
Dorn_RU10.fasta,19,20,16,27
Dorn_RU10.fasta,19,20,16,28
Dorn_RU10.fasta,19,20,17,29
Dorn_RU10.fasta,19,20,17,30
Dorn_RU10.fasta,19,20,15,31
Dorn_RU10.fasta,19,20,15,32
Dorn_RU10.fasta,19,20,10,33
Dorn_RU10.fasta,19,20,14,34
Dorn_RU10.fasta,19,20,20,35
Dorn_RU10.fasta,19,20,19,36
Dorn_RU10.fasta,19,20,11,37
Dorn_RU10.fasta,19,20,15,38
Dorn_RU10.fasta,19,20,18,39
Dorn_RU10.fasta,19,20,20,40
Dorn_RU10.fasta,19,20,15,41
Dorn_RU10.fasta,19,20,14,42
Dorn_RU10.fasta,19,20,13,43
Dorn_RU10.fasta,19,20,14,44
Dorn_RU10.fasta,19,20,14,45
Dorn_RU10.fasta,19,20,16,46
Dorn_RU10.fasta,19,20,15,47
Dorn_RU10.fasta,19,20,18,48
Dorn_RU10.fasta,19,20,16,49
Dorn_RU10.fasta,19,20,16,50
Dorn_RU10.fasta,19,20,13,51
Dorn_RU10.fasta,19,20,14,52
Dorn_RU10.fasta,19,20,15,53
Dorn_RU10.fasta,19,20,15,54
Dorn_RU10.fasta,19,20,12,55
Dorn_RU10.fasta,19,20,15,56
Dorn_RU10.fasta,19,20,14,57
Dorn_RU10.fasta,19,20,11,58
Dorn_RU10.fasta,19,20,16,59
Dorn_RU10.fasta,19,20,18,60
Dorn_RU10.fasta,19,20,14,61
Dorn_RU10.fasta,19,20,11,62
Dorn_RU10.fasta,19,20,18,63
Dorn_RU10.fasta,19,20,16,64
Dorn_RU10.fasta,19,20,17,65
Dorn_RU10.fasta,19,21,18,0
Dorn_RU10.fasta,19,21,20,1
Dorn_RU10.fasta,19,21,19,2
Dorn_RU10.fasta,19,21,21,3
Dorn_RU10.fasta,19,21,19,4
Dorn_RU10.fasta,19,21,20,5
Dorn_RU10.fasta,19,21,20,6
Dorn_RU10.fasta,19,21,17,7
Dorn_RU10.fasta,19,21,18,8
Dorn_RU10.fasta,19,21,19,9
Dorn_RU10.fasta,19,21,18,10
Dorn_RU10.fasta,19,21,16,11
Dorn_RU10.fasta,19,21,19,12
Dorn_RU10.fasta,19,21,19,13
Dorn_RU10.fasta,19,21,20,14
Dorn_RU10.fasta,19,21,18,15
Dorn_RU10.fasta,19,21,19,16
Dorn_RU10.fasta,19,21,19,17
Dorn_RU10.fasta,19,21,20,18
Dorn_RU10.fasta,19,21,18,19
Dorn_RU10.fasta,19,21,22,20
Dorn_RU10.fasta,19,21,22,21
Dorn_RU10.fasta,19,21,19,22
Dorn_RU10.fasta,19,21,18,23
Dorn_RU10.fasta,19,21,22,24
Dorn_RU10.fasta,19,21,19,25
Dorn_RU10.fasta,19,21,16,26
Dorn_RU10.fasta,19,21,19,27
Dorn_RU10.fasta,19,21,17,28
Dorn_RU10.fasta,19,21,19,29
Dorn_RU10.fasta,19,21,20,30
Dorn_RU10.fasta,19,21,17,31
Dorn_RU10.fasta,19,21,19,32
Dorn_RU10.fasta,19,21,19,33
Dorn_RU10.fasta,19,21,21,34
Dorn_RU10.fasta,19,21,15,35
Dorn_RU10.fasta,19,21,18,36
Dorn_RU10.fasta,19,21,19,37
Dorn_RU10.fasta,19,21,16,38
Dorn_RU10.fasta,19,21,17,39
Dorn_RU10.fasta,19,21,20,40
Dorn_RU10.fasta,19,21,18,41
Dorn_RU10.fasta,19,21,20,42
Dorn_RU10.fasta,19,21,17,43
Dorn_RU10.fasta,19,21,19,44
Dorn_RU10.fasta,19,21,20,45
Dorn_RU10.fasta,19,21,21,46
Dorn_RU10.fasta,19,21,21,47
Dorn_RU10.fasta,19,21,20,48
Dorn_RU10.fasta,19,21,21,49
Dorn_RU10.fasta,19,21,17,50
Dorn_RU10.fasta,19,21,19,51
Dorn_RU10.fasta,19,21,18,52
Dorn_RU10.fasta,19,21,18,53
Dorn_RU10.fasta,19,21,20,54
Dorn_RU10.fasta,19,21,19,55
Dorn_RU10.fasta,19,21,21,56
Dorn_RU10.fasta,19,21,20,57
Dorn_RU10.fasta,19,21,16,58
Dorn_RU10.fasta,19,21,19,59
Dorn_RU10.fasta,19,21,20,60
Dorn_RU10.fasta,19,21,20,61
Dorn_RU10.fasta,19,21,17,62
Dorn_RU10.fasta,19,21,20,63
Dorn_RU10.fasta,19,21,17,64
Dorn_RU10.fasta,19,21,20,65
Dorn_RU10.fasta,19,21,17,66
Dorn_RU10.fasta,19,21,21,67
Dorn_RU10.fasta,19,21,21,68
Dorn_RU10.fasta,19,21,17,69
Dorn_RU10.fasta,19,21,15,70
Dorn_RU10.fasta,19,21,16,71
Dorn_RU10.fasta,19,21,19,72
Dorn_RU10.fasta,19,21,16,73
Dorn_RU10.fasta,19,21,19,74
Dorn_RU10.fasta,19,21,19,75
Dorn_RU10.fasta,19,21,20,76
Dorn_RU10.fasta,19,21,21,77
Dorn_RU10.fasta,19,21,20,78
Dorn_RU10.fasta,19,21,17,79
Dorn_RU10.fasta,19,21,18,80
Dorn_RU10.fasta,19,21,18,81
Dorn_RU10.fasta,19,21,21,82
Dorn_RU10.fasta,19,21,19,83
Dorn_RU10.fasta,19,21,18,84
Dorn_RU10.fasta,19,21,19,85
Dorn_RU10.fasta,19,21,20,86
Dorn_RU10.fasta,19,21,21,87
Dorn_RU10.fasta,19,21,19,88
Dorn_RU10.fasta,19,21,17,89
Dorn_RU10.fasta,19,21,17,90
Dorn_RU10.fasta,19,21,21,91
Dorn_RU10.fasta,19,22,19,0
Dorn_RU10.fasta,19,22,21,1
Dorn_RU10.fasta,19,22,21,2
Dorn_RU10.fasta,19,22,23,3
Dorn_RU10.fasta,19,22,21,4
Dorn_RU10.fasta,19,22,21,5
Dorn_RU10.fasta,19,22,21,6
Dorn_RU10.fasta,19,22,23,7
Dorn_RU10.fasta,19,22,19,8
Dorn_RU10.fasta,19,22,23,9
Dorn_RU10.fasta,19,22,22,10
Dorn_RU10.fasta,19,22,23,11
Dorn_RU10.fasta,19,22,23,12
Dorn_RU10.fasta,19,22,22,13
Dorn_RU10.fasta,19,22,22,14
Dorn_RU10.fasta,19,22,22,15
Dorn_RU10.fasta,19,22,23,16
Dorn_RU10.fasta,19,22,18,17
Dorn_RU10.fasta,19,22,20,18
Dorn_RU10.fasta,19,22,20,19
Dorn_RU10.fasta,19,22,23,20
Dorn_RU10.fasta,19,22,22,21
Dorn_RU10.fasta,19,22,20,22
Dorn_RU10.fasta,19,22,19,23
Dorn_RU10.fasta,19,22,22,24
Dorn_RU10.fasta,19,22,21,25
Dorn_RU10.fasta,19,22,23,26
Dorn_RU10.fasta,19,22,22,27
Dorn_RU10.fasta,19,22,22,28
Dorn_RU10.fasta,19,22,21,29
Dorn_RU10.fasta,19,22,21,30
Dorn_RU10.fasta,19,22,22,31
Dorn_RU10.fasta,19,22,22,32
Dorn_RU10.fasta,19,22,15,33
Dorn_RU10.fasta,19,22,22,34
Dorn_RU10.fasta,19,22,20,35
Dorn_RU10.fasta,19,22,19,36
Dorn_RU10.fasta,19,22,19,37
Dorn_RU10.fasta,19,22,23,38
Dorn_RU10.fasta,19,22,19,39
Dorn_RU10.fasta,19,22,21,40
Dorn_RU10.fasta,19,22,22,41
Dorn_RU10.fasta,19,22,22,42
Dorn_RU10.fasta,19,22,23,43
Dorn_RU10.fasta,19,22,23,44
Dorn_RU10.fasta,19,22,23,45
Dorn_RU10.fasta,19,22,21,46
Dorn_RU10.fasta,19,22,21,47
Dorn_RU10.fasta,19,22,21,48
Dorn_RU10.fasta,19,22,19,49
Dorn_RU10.fasta,19,22,22,50
Dorn_RU10.fasta,19,22,22,51
Dorn_RU10.fasta,19,22,20,52
Dorn_RU10.fasta,19,22,20,53
Dorn_RU10.fasta,19,22,19,54
Dorn_RU10.fasta,19,22,19,55
Dorn_RU10.fasta,19,22,22,56
Dorn_RU10.fasta,19,22,21,57
Dorn_RU10.fasta,19,22,22,58
Dorn_RU10.fasta,19,22,23,59
Dorn_RU10.fasta,19,22,21,60
Dorn_RU10.fasta,19,22,19,61
Dorn_RU10.fasta,19,22,21,62
Dorn_RU10.fasta,19,22,23,63
Dorn_RU10.fasta,19,22,21,64
Dorn_RU10.fasta,19,22,21,65
Dorn_RU10.fasta,19,22,22,66
Dorn_RU10.fasta,19,22,22,67
Dorn_RU10.fasta,19,22,23,68
Dorn_RU10.fasta,19,22,19,69
Dorn_RU10.fasta,19,22,21,70
Dorn_RU10.fasta,19,22,19,71
Dorn_RU10.fasta,19,22,19,72
Dorn_RU10.fasta,19,22,22,73
Dorn_RU10.fasta,19,22,21,74
Dorn_RU10.fasta,19,22,21,75
Dorn_RU10.fasta,19,22,23,76
Dorn_RU10.fasta,19,22,22,77
Dorn_RU10.fasta,19,22,20,78
Dorn_RU10.fasta,19,22,21,79
Dorn_RU10.fasta,19,22,22,80
Dorn_RU10.fasta,19,22,23,81
Dorn_RU10.fasta,19,22,16,82
Dorn_RU10.fasta,19,22,21,83
Dorn_RU10.fasta,19,22,18,84
Dorn_RU10.fasta,19,22,22,85
Dorn_RU10.fasta,19,22,22,86
Dorn_RU10.fasta,19,22,23,87
Dorn_RU10.fasta,19,22,22,88
Dorn_RU10.fasta,19,22,18,89
Dorn_RU10.fasta,19,23,24,0
Dorn_RU10.fasta,19,23,24,1
Dorn_RU10.fasta,19,23,23,2
Dorn_RU10.fasta,19,23,24,3
Dorn_RU10.fasta,19,23,20,4
Dorn_RU10.fasta,19,23,24,5
Dorn_RU10.fasta,19,23,23,6
Dorn_RU10.fasta,19,23,22,7
Dorn_RU10.fasta,19,23,24,8
Dorn_RU10.fasta,19,23,23,9
Dorn_RU10.fasta,19,23,21,10
Dorn_RU10.fasta,19,23,23,11
Dorn_RU10.fasta,19,23,24,12
Dorn_RU10.fasta,19,23,23,13
Dorn_RU10.fasta,19,23,22,14
Dorn_RU10.fasta,19,23,22,15
Dorn_RU10.fasta,19,23,24,16
Dorn_RU10.fasta,19,23,22,17
Dorn_RU10.fasta,19,23,24,18
Dorn_RU10.fasta,19,23,22,19
Dorn_RU10.fasta,19,23,22,20
Dorn_RU10.fasta,19,23,24,21
Dorn_RU10.fasta,19,23,22,22
Dorn_RU10.fasta,19,23,24,23
Dorn_RU10.fasta,19,23,23,24
Dorn_RU10.fasta,19,23,24,25
Dorn_RU10.fasta,19,23,24,26
Dorn_RU10.fasta,19,23,24,27
Dorn_RU10.fasta,19,23,23,28
Dorn_RU10.fasta,19,23,24,29
Dorn_RU10.fasta,19,23,23,30
Dorn_RU10.fasta,19,23,24,31
Dorn_RU10.fasta,19,23,22,32
Dorn_RU10.fasta,19,23,24,33
Dorn_RU10.fasta,19,23,24,34
Dorn_RU10.fasta,19,23,24,35
Dorn_RU10.fasta,19,23,23,36
Dorn_RU10.fasta,19,23,21,37
Dorn_RU10.fasta,19,23,24,38
Dorn_RU10.fasta,19,23,24,39
Dorn_RU10.fasta,19,23,24,40
Dorn_RU10.fasta,19,23,24,41
Dorn_RU10.fasta,19,23,24,42
Dorn_RU10.fasta,19,23,22,43
Dorn_RU10.fasta,19,23,23,44
Dorn_RU10.fasta,19,23,24,45
Dorn_RU10.fasta,19,23,21,46
Dorn_RU10.fasta,19,23,24,47
Dorn_RU10.fasta,19,23,22,48
Dorn_RU10.fasta,19,23,23,49
Dorn_RU10.fasta,19,23,22,50
Dorn_RU10.fasta,19,23,23,51
Dorn_RU10.fasta,19,23,22,52
Dorn_RU10.fasta,19,23,23,53
Dorn_RU10.fasta,19,23,22,54
Dorn_RU10.fasta,19,23,24,55
Dorn_RU10.fasta,19,23,22,56
Dorn_RU10.fasta,19,23,24,57
Dorn_RU10.fasta,19,23,23,58
Dorn_RU10.fasta,19,23,23,59
Dorn_RU10.fasta,19,23,24,60
Dorn_RU10.fasta,19,23,23,61
Dorn_RU10.fasta,19,23,24,62
Dorn_RU10.fasta,19,23,23,63
Dorn_RU10.fasta,19,23,24,64
Dorn_RU10.fasta,19,23,23,65
Dorn_RU10.fasta,19,23,24,66
Dorn_RU10.fasta,19,23,24,67
Dorn_RU10.fasta,19,23,23,68
Dorn_RU10.fasta,19,23,22,69
Dorn_RU10.fasta,19,23,24,70
Dorn_RU10.fasta,19,23,24,71
Dorn_RU10.fasta,19,23,21,72
Dorn_RU10.fasta,19,23,24,73
Dorn_RU10.fasta,19,23,21,74
Dorn_RU10.fasta,19,23,23,75
Dorn_RU10.fasta,19,23,23,76
Dorn_RU10.fasta,19,23,24,77
Dorn_RU10.fasta,19,23,22,78
Dorn_RU10.fasta,19,23,24,79
Dorn_RU10.fasta,19,23,22,80
Dorn_RU10.fasta,19,23,24,81
Dorn_RU10.fasta,19,23,23,82
Dorn_RU10.fasta,19,23,24,83
Dorn_RU10.fasta,19,23,21,84
Dorn_RU10.fasta,19,23,24,85
Dorn_RU10.fasta,19,23,22,86
Dorn_RU10.fasta,19,23,22,87
Dorn_RU10.fasta,19,23,24,88
Dorn_RU10.fasta,19,23,23,89
Dorn_RU10.fasta,19,23,23,90
Dorn_RU10.fasta,19,23,22,91
Dorn_RU10.fasta,19,23,22,92
Dorn_RU10.fasta,19,23,22,93
Dorn_RU10.fasta,19,23,22,94
Dorn_RU10.fasta,19,24,25,0
Dorn_RU10.fasta,19,24,25,1
Dorn_RU10.fasta,19,24,25,2
Dorn_RU10.fasta,19,24,25,3
Dorn_RU10.fasta,19,24,24,4
Dorn_RU10.fasta,19,24,24,5
Dorn_RU10.fasta,19,24,25,6
Dorn_RU10.fasta,19,24,25,7
Dorn_RU10.fasta,19,24,25,8
Dorn_RU10.fasta,19,24,25,9
Dorn_RU10.fasta,19,24,25,10
Dorn_RU10.fasta,19,24,25,11
Dorn_RU10.fasta,19,24,24,12
Dorn_RU10.fasta,19,24,25,13
Dorn_RU10.fasta,19,24,24,14
Dorn_RU10.fasta,19,24,25,15
Dorn_RU10.fasta,19,24,25,16
Dorn_RU10.fasta,19,24,25,17
Dorn_RU10.fasta,19,24,25,18
Dorn_RU10.fasta,19,24,25,19
Dorn_RU10.fasta,19,24,24,20
Dorn_RU10.fasta,19,24,25,21
Dorn_RU10.fasta,19,24,25,22
Dorn_RU10.fasta,19,24,24,23
Dorn_RU10.fasta,19,24,25,24
Dorn_RU10.fasta,19,24,23,25
Dorn_RU10.fasta,19,24,24,26
Dorn_RU10.fasta,19,24,25,27
Dorn_RU10.fasta,19,24,24,28
Dorn_RU10.fasta,19,24,25,29
Dorn_RU10.fasta,19,24,25,30
Dorn_RU10.fasta,19,24,23,31
Dorn_RU10.fasta,19,24,23,32
Dorn_RU10.fasta,19,24,24,33
Dorn_RU10.fasta,19,24,25,34
Dorn_RU10.fasta,19,24,24,35
Dorn_RU10.fasta,19,24,23,36
Dorn_RU10.fasta,19,24,25,37
Dorn_RU10.fasta,19,24,25,38
Dorn_RU10.fasta,19,24,25,39
Dorn_RU10.fasta,19,24,23,40
Dorn_RU10.fasta,19,24,24,41
Dorn_RU10.fasta,19,24,24,42
Dorn_RU10.fasta,19,24,25,43
Dorn_RU10.fasta,19,24,25,44
Dorn_RU10.fasta,19,24,24,45
Dorn_RU10.fasta,19,24,23,46
Dorn_RU10.fasta,19,24,25,47
Dorn_RU10.fasta,19,24,25,48
Dorn_RU10.fasta,19,24,25,49
Dorn_RU10.fasta,19,24,25,50
